Date	Amount
1/21/1997	135.1899
1/22/1997	137.5327
1/23/1997	138.1597
1/24/1997	137.5516
1/27/1997	138.4275
1/28/1997	139.3922
1/29/1997	138.5617
1/30/1997	138.831
1/31/1997	138.7732
2/3/1997	139.6843
2/4/1997	139.6843
2/5/1997	139.6843
2/6/1997	140.2131
2/7/1997	141.6631
2/10/1997	140.5877
2/11/1997	140.9841
2/12/1997	142.3082
2/13/1997	143.4103
2/14/1997	143.082
2/17/1997	143.2665
2/18/1997	142.5314
2/19/1997	144.113
2/20/1997	142.7552
2/21/1997	143.0206
2/24/1997	141.6431
2/25/1997	141.4027
2/26/1997	143.4103
2/27/1997	143.575
2/28/1997	143.472
3/3/1997	143.5544
3/4/1997	145.2011
3/5/1997	145.0116
3/6/1997	144.6341
3/7/1997	145.0116
3/10/1997	143.947
3/11/1997	144.8646
3/12/1997	144.5504
3/13/1997	144.4878
3/14/1997	143.1434
3/17/1997	143.7815
3/18/1997	143.5028
3/19/1997	143.3692
3/20/1997	145.067
3/21/1997	145.021
3/22/1997	143.487
3/23/1997	143.487
3/24/1997	143.775
3/25/1997	143.661
3/26/1997	143.39
3/27/1997	143.839
3/31/1997	143.203
4/1/1997	143.839
4/2/1997	143.595
4/3/1997	143.739
4/4/1997	143.665
4/5/1997	143.839
4/7/1997	143.934
4/8/1997	143.934
4/9/1997	144.948
4/10/1997	145.226
4/11/1997	145.013
4/14/1997	145.4545
4/15/1997	145.195
4/16/1997	146.093
4/17/1997	145.641
4/18/1997	145.769
4/21/1997	145.101
4/22/1997	144.122
4/23/1997	144.423
4/24/1997	144.827
4/25/1997	145.005
4/28/1997	144.839
4/29/1997	146.072
4/30/1997	146.106
5/2/1997	145.85
5/6/1997	145.89
5/7/1997	146.181
5/8/1997	145.24
5/9/1997	144.715
5/10/1997	144.715
5/12/1997	143.772
5/13/1997	143.513
5/14/1997	143.817
5/15/1997	144.229
5/16/1997	144.229
5/20/1997	143.409
5/21/1997	143.057
5/22/1997	142.218
5/23/1997	142.771
5/26/1997	143.012
5/27/1997	142.536
5/28/1997	143.535
5/29/1997	143.965
5/30/1997	144.286
6/2/1997	144.28
6/3/1997	146.096
6/4/1997	145.994
6/5/1997	146.163
6/6/1997	146.155
6/9/1997	147.044
6/10/1997	145.257
6/11/1997	145.239
6/12/1997	145.338
6/13/1997	145.93
6/16/1997	146.333
6/17/1997	146.42
6/18/1997	146.635
6/19/1997	145.874
6/20/1997	146.108
6/23/1997	145.955
6/25/1997	145.752
6/26/1997	145.59
6/27/1997	146.095
6/30/1997	146.606
7/1/1997	147.495
7/2/1997	147.586
7/3/1997	147.99
7/4/1997	148.302
7/7/1997	148.075
7/8/1997	147.511
7/9/1997	148.407
7/10/1997	148.871
7/11/1997	148.238
7/14/1997	148.807
7/15/1997	151.114
7/16/1997	151.354
7/17/1997	151.55
7/18/1997	150.95
7/19/1997	150.90
7/22/1997	151.50
7/23/1997	153.08
7/24/1997	154.32
7/25/1997	154.784
7/28/1997	154.73
7/29/1997	155.70
7/30/1997	155.71
7/31/1997	155.70
8/1/1997	154.778
8/4/1997	157.00
8/5/1997	157.87
8/6/1997	158.75
8/7/1997	159.409
8/8/1997	159.409
8/11/1997	157.50
8/12/1997	156.62
8/13/1997	157.45
8/14/1997	155.80
8/15/1997	156.62
8/18/1997	154.45
8/19/1997	153.94
8/20/1997	155.60
8/21/1997	156.20
8/25/1997	153.30
8/26/1997	154.20
8/27/1997	152.10
8/28/1997	153.14
8/29/1997	151.90
8/30/1997	151.80
9/1/1997	152.79
9/2/1997	152.80
9/3/1997	153.60
9/4/1997	153.60
9/5/1997	153.70
9/6/1997	153.10
9/8/1997	153.70
9/9/1997	152.30
9/10/1997	152.30
9/11/1997	152.30
9/12/1997	151.50
9/13/1997	149.60
9/15/1997	150.453
9/16/1997	148.66
9/17/1997	149.66
9/18/1997	149.66
9/19/1997	150.10
9/22/1997	150.10
9/23/1997	150.00
9/24/1997	151.379
9/25/1997	151.40
9/26/1997	151.50
9/29/1997	151.40
9/30/1997	149.00
10/1/1997	148.739
10/2/1997	149.425
10/3/1997	149.30
10/6/1997	150.171
10/7/1997	148.739
10/8/1997	147.921
10/9/1997	148.50
10/10/1997	147.30
10/13/1997	147.433
10/14/1997	148.10
10/15/1997	148.143
10/16/1997	148.057
10/20/1997	148.857
10/21/1997	150.386
10/22/1997	150.386
10/23/1997	150.636
10/24/1997	149.599
10/27/1997	150.141
10/28/1997	148.888
10/29/1997	145.852
10/30/1997	147.10
11/3/1997	145.726
11/4/1997	147.268
11/5/1997	145.45
11/6/1997	146.165
11/7/1997	145.846
11/10/1997	144.10
11/11/1997	145.277
11/12/1997	144.307
11/13/1997	144.752
11/14/1997	145.674
11/17/1997	146.112
11/18/1997	146.895
11/19/1997	146.10
11/20/1997	146.333
11/21/1997	146.14
11/24/1997	147.845
11/25/1997	146.614
11/26/1997	147.383
11/27/1997	148.394
11/28/1997	149.247
12/1/1997	149.189
12/2/1997	150.343
12/3/1997	149.891
12/4/1997	149.749
12/5/1997	149.886
12/9/1997	149.875
12/11/1997	150.685
12/12/1997	150.453
12/13/1997	150.49
12/15/1997	149.475
12/16/1997	150.236
12/17/1997	151.036
12/18/1997	151.036
12/19/1997	150.226
12/22/1997	150.036
12/23/1997	150.83
12/29/1997	150.83
12/30/1997	150.598
12/31/1997	151.708
1/2/1998	151.708
1/4/1998	152.602
1/5/1998	152.602
1/6/1998	153.565
1/7/1998	154.30
1/8/1998	154.735
1/9/1998	154.735
